Date, Close/Last, Volume, Open, High, Low
03/19/2020, $244.78, 67964260, $247.385, $252.84, $242.61
03/18/2020, $246.67, 75058410, $239.77, $250, $237.12
03/17/2020, $252.86, 81013970, $247.51, $257.61, $238.4
03/16/2020, $242.21, 80605870, $241.95, $259.08, $240
03/13/2020, $277.97, 92683030, $264.89, $279.92, $252.95
03/12/2020, $248.23, 104618500, $255.94, $270, $248
03/11/2020, $275.43, 64094970, $277.39, $281.22, $271.86
03/10/2020, $285.34, 71322520, $277.14, $286.44, $269.37
03/09/2020, $266.17, 71686210, $263.75, $278.09, $263
03/06/2020, $289.03, 56544250, $282, $290.82, $281.23
03/05/2020, $292.92, 46893220, $295.52, $299.55, $291.41
03/04/2020, $302.74, 54794570, $296.44, $303.4, $293.13
03/03/2020, $289.32, 79868850, $303.67, $304, $285.8
03/02/2020, $298.81, 85349340, $282.28, $301.44, $277.72
02/28/2020, $273.36, 106721200, $257.26, $278.41, $256.37
02/27/2020, $273.52, 80151380, $281.1, $286, $272.96
02/26/2020, $292.65, 49678430, $286.53, $297.88, $286.5
02/25/2020, $288.08, 57668360, $300.95, $302.53, $286.13
02/24/2020, $298.18, 55548830, $297.26, $304.18, $289.23
02/21/2020, $313.05, 32426420, $318.62, $320.45, $310.5
02/20/2020, $320.3, 25141490, $322.63, $324.65, $318.21
